id,category,question,expected_keywords,response,tokens,elapsed_s
24,math,What is 3 times 4?,12|twelve,3 times 4 equals 3 times 4.,14,2.38
25,math,What is 100 divided by 4?,25|twenty,100 divided by 4 equals 100.,14,2.69
26,math,What is 7 plus 5?,12|twelve,7 plus 5 equals 12.,11,2.08
27,math,What is 9 plus 1?,10|ten,9 plus 1 equals 9.,11,2.06
28,math,What is 20 minus 5?,15|fifteen,20 minus 5 equals 20.,11,2.05
29,math,What is 6 times 6?,36|thirty,6 times 6 equals 6.,11,2.05
30,math,What is 50 divided by 5?,10|ten,50 divided by 5 equals 50.,12,2.25
31,math,What is 1 plus 1?,2|two,1 plus 1 equals 1.,11,2.11
32,math,What is 100 minus 50?,50|fifty,100 minus 50 equals 20.,12,2.28
33,math,What is 8 times 8?,64|sixty,8 times 8 equals 8.,11,2.06
34,math,What is 200 plus 300?,500|five hundred,200 plus 300 equals 200.,14,2.58
35,math,What is half of 10?,5|five,10 is 10.,8,1.64
36,definition,What is water?,liquid|h2o|hydrogen|oxygen|drink,"Water is the liquid that surrounds us, and it is the only substance that can be made of hydrogen and oxygen.",25,3.12
37,definition,What is the sun?,star|hot|sky|fire,The sun is the brightest star in the night sky.,13,1.96
38,definition,What is a dog?,animal|pet|mammal,A dog is a dog.,8,1.49
39,definition,What is a cat?,animal|pet|mammal|feline,A cat is a cat. A cat is a cat. A cat is a cat. A cat is a cat.,26,3.30
40,definition,What is a tree?,plant|wood|branch|leaf,"A tree is a tree, a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place,",887,95.13
41,definition,What is a computer?,machine|electronic|device,A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is,887,96.13
42,definition,What is the internet?,network|computer|online,The internet is a place where people can learn and share information. It is a place where people can share information and learn from each other.,30,3.74
43,definition,What is a book?,read|paper|story,A book is a collection of books written by a writer or authors.,16,2.26
44,definition,What is fire?,burn|hot|flame|heat,"Fire is a type of energy that can be used to heat or cool a building. It can be used to heat a building, a fire pit, or a fire pit.",37,4.32
45,definition,What is rain?,water|sky|cloud|wet,Rain is a term used to describe the rain that falls in a particular place. It is a term used to describe the rain that falls in a particular place. Rain is a term used to describe the rain that falls in a particular place.,50,5.94
46,definition,What is snow?,cold|white|frozen|water,Snow is a mixture of snow and ice that is made up of water and air. Snow is a mixture of snow and ice that is made up of water and air. Snow is a mixture of snow and ice that is made up of water and air.,53,6.00
47,definition,What is a friend?,person|like|care|together,A friend is a person who is interested in a particular topic or topic.,17,2.46
48,definition,What is a doctor?,medicine|patient|health|hospital,A doctor is a doctor who has a degree in medicine. The doctor is responsible for treating patients and their families.,25,3.17
49,definition,What is a school?,learn|teacher|student,A school is a place where students learn and grow. It is a place where students learn and grow. It is a place where students learn and grow.,33,4.00
50,definition,What is a hospital?,sick|patient|doctor|medical,A hospital is a place where people can get medical attention. It is a place where people can get medical attention. It is a place where people can get medical attention. It is a place where people can get medical attention.,47,5.47
51,list,Name three primary colors.,red|blue|yellow,"Red, yellow, and blue.",9,1.54
52,list,Name three planets.,earth|mars|jupiter|venus|saturn,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",22,2.81
53,list,Name three farm animals.,cow|pig|chicken|horse|sheep,"The farm animals are cattle, sheep, goats, and pigs.",15,2.16
54,list,Name three fruits.,apple|banana|orange|grape,"The fruits are apples, pears, and plums.",13,1.87
55,list,Name three vegetables.,carrot|broccoli|potato|tomato|onion,"3 of the vegetables are potatoes, 3 of the vegetables are tomatoes, and 3 of the vegetables are peppers.",27,3.29
56,list,Name three countries in Europe.,france|germany|spain|italy|england,"France, Germany, and the United Kingdom.",11,1.94
57,list,Name three days of the week.,monday|tuesday|wednesday|thursday|friday,"Monday, Tuesday, Thursday, and Friday.",11,1.94
58,list,Name three months of the year.,january|february|march|april|may,"2015
B: 2016
C: 2017
D: 2018
E: 2019
F: 2020
G: 2021
H: 2021
H: 2022
I: 2022",60,7.32
59,list,Name three colors.,red|blue|green|yellow|black|white,"Blue, green, and yellow.",9,1.45
60,list,Name three types of music.,rock|pop|jazz|classical|country,"The three types of music are: classical, jazz, and rock. The classical music is the most popular, and the jazz is the most popular. The rock music is the most popular, and the rock music is the most popular. The music is played in a variety of genres, including rock, jazz, and rock music. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is played by a variety of people, including musicians, singers, and musicians. The music is",886,97.36
61,yesno,Is the sky blue?,yes,"Yes, the sky is blue.",9,1.57
62,yesno,Is fire hot?,yes,"No, fire is not hot. Fire is a chemical reaction that occurs when a chemical reaction occurs between two substances. The chemical reaction occurs when a substance is heated and then cooled. Fire is a chemical reaction that occurs when a substance is heated and then cooled.",54,6.35
63,yesno,Is snow cold?,yes,"Yes, snow is cold.",8,1.34
64,yesno,Is water wet?,yes,No. It is not. Water is a liquid. It is a gas. Water is a solid.,23,2.89
65,yesno,Can dogs fly?,no|cannot|can't,"Yes, dogs can fly. They can fly at speeds of 20 miles per hour. They can also fly at speeds of 30 miles per hour. They can also fly at speeds of 100 miles per hour.",47,5.85
66,yesno,Is the sun a planet?,no|star,The sun is a planet.,8,1.55
67,yesno,Do fish live in water?,yes,"Yes, fish live in water. They are the only animals that can live in water. They are the only animals that can swim.",29,3.71
68,yesno,Is 5 greater than 3?,yes,No.,4,1.33
69,yesno,Is the moon made of cheese?,no,"Yes, the moon is made of cheese.",11,1.97
70,yesno,Do humans need water to live?,yes,"No, humans need water to live. We need water for our bodies to function.",19,2.82
71,social,Hello!,hello|hi|nice|how,I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5. I am a 7 plus 5,890,94.21
72,social,How are you?,well|good|fine|thanks,You are a student. You are a teacher. You are a student. You are a teacher. You are a student. You are a teacher. You are a student. You are a teacher. You are a student. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a student. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher. You are a teacher.The,888,93.34
73,social,Good morning.,morning|hello|good,I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question. I have a question,889,93.10
74,social,What is your name?,name|am|i,I am a 7 plus 5.,11,1.71
75,social,Tell me a joke.,why|because|joke,Why did the scarecrow win an award? Because he was outstanding in his field.,20,2.65
76,comparison,Which is bigger an elephant or a mouse?,elephant,An elephant is bigger than a mouse.,10,2.04
77,comparison,Which is faster a car or a bicycle?,car,A bicycle is faster than a car because it has a higher speed. A car has a higher speed because it has a higher torque.,29,3.97
78,comparison,Which is colder ice or fire?,ice,Fire is colder than ice.,8,1.63
79,comparison,Which is heavier a feather or a brick?,brick,A feather is heavier than a brick.,10,2.04
80,comparison,Which is taller a giraffe or a dog?,giraffe,A giraffe is taller than a dog.,10,2.06
81,comparison,Which is older 1990 or 2020?,1990,1990 was 1990.,10,2.24
82,comparison,Which planet is closer to the sun Earth or Mars?,earth,Mars is closer to the sun than Mercury is.,12,2.46
83,comparison,Which is sweeter sugar or salt?,sugar,Sugar is sweeter than salt.,8,1.61
84,comparison,Which is louder a whisper or a shout?,shout,A whisper is louder than a shout.,11,2.25
85,comparison,Which is brighter the sun or a candle?,sun,The sun is brighter than the candle.,10,2.02
86,time,How many days are in a week?,seven|7,10 days.,6,1.53
87,time,How many months are in a year?,twelve|12,"1 year is 1,000 years.",13,2.24
88,time,How many hours are in a day?,twenty-four|24|twenty four,24 hours.,6,1.53
89,time,How many minutes are in an hour?,sixty|60,1 hour.,6,1.52
90,time,How many seconds are in a minute?,sixty|60,1 minute is 0.5 seconds.,12,2.15
91,causal,Why do plants need water?,grow|survive|alive|live,Plants need water to grow. Water is essential for the growth of plants. Plants need water to grow because they need water to survive. Water is essential for plants to grow because they need water to survive. Water is essential for plants to grow because they need water to survive.,57,6.51
92,causal,Why is the sky blue?,light|color|scatter|sun,The sky is blue because the sun is shining.,12,1.93
93,causal,Why do we eat food?,energy|live|grow|hungry|nutrition,"Food is a source of nutrition. It is a source of energy, a source of food, and a source of sustenance. Food is a source of nourishment for us. It is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment for us. Food is a source of nourishment",886,92.99
94,causal,Why do birds fly?,wings|escape|find|sky,"Birds fly because they have wings, and they fly because they are able to fly. They also fly because they are able to fly. Birds fly because they are able to fly because they are able to fly.",44,5.11
95,causal,Why does it rain?,cloud|water|sky|condense,The rain is because the wind blows the rain down the roof of the house.,18,2.45
