id,category,question,expected_keywords,response,tokens,elapsed_s
24,math,What is 3 times 4?,12|twelve,3 times 4 equals 3 times 4.,14,2.38
25,math,What is 100 divided by 4?,25|twenty,100 divided by 4 equals 100.,14,2.69
26,math,What is 7 plus 5?,12|twelve,7 plus 5 equals 12.,11,2.08
27,math,What is 9 plus 1?,10|ten,9 plus 1 equals 9.,11,2.06
28,math,What is 20 minus 5?,15|fifteen,20 minus 5 equals 20.,11,2.05
29,math,What is 6 times 6?,36|thirty,6 times 6 equals 6.,11,2.05
30,math,What is 50 divided by 5?,10|ten,50 divided by 5 equals 50.,12,2.25
31,math,What is 1 plus 1?,2|two,1 plus 1 equals 1.,11,2.11
32,math,What is 100 minus 50?,50|fifty,100 minus 50 equals 20.,12,2.28
33,math,What is 8 times 8?,64|sixty,8 times 8 equals 8.,11,2.06
34,math,What is 200 plus 300?,500|five hundred,200 plus 300 equals 200.,14,2.58
35,math,What is half of 10?,5|five,10 is 10.,8,1.64
36,definition,What is water?,liquid|h2o|hydrogen|oxygen|drink,"Water is the liquid that surrounds us, and it is the only substance that can be made of hydrogen and oxygen.",25,3.12
37,definition,What is the sun?,star|hot|sky|fire,The sun is the brightest star in the night sky.,13,1.96
38,definition,What is a dog?,animal|pet|mammal,A dog is a dog.,8,1.49
39,definition,What is a cat?,animal|pet|mammal|feline,A cat is a cat. A cat is a cat. A cat is a cat. A cat is a cat.,26,3.30
40,definition,What is a tree?,plant|wood|branch|leaf,"A tree is a tree, a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place, and a plant is a plant. A tree is a plant, a plant is a plant, or a place,",887,95.13
41,definition,What is a computer?,machine|electronic|device,A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is a device that can perform a series of tasks. A computer is,887,96.13
42,definition,What is the internet?,network|computer|online,The internet is a place where people can learn and share information. It is a place where people can share information and learn from each other.,30,3.74
43,definition,What is a book?,read|paper|story,A book is a collection of books written by a writer or authors.,16,2.26
44,definition,What is fire?,burn|hot|flame|heat,"Fire is a type of energy that can be used to heat or cool a building. It can be used to heat a building, a fire pit, or a fire pit.",37,4.32
45,definition,What is rain?,water|sky|cloud|wet,Rain is a term used to describe the rain that falls in a particular place. It is a term used to describe the rain that falls in a particular place. Rain is a term used to describe the rain that falls in a particular place.,50,5.94
46,definition,What is snow?,cold|white|frozen|water,Snow is a mixture of snow and ice that is made up of water and air. Snow is a mixture of snow and ice that is made up of water and air. Snow is a mixture of snow and ice that is made up of water and air.,53,6.00
